run,mutation_intensity,generations_completed,duration_seconds,hof_genotype,hof_vertpos
0,0.4,56,194.73551700000098,/*9*/DDDLB,0.7542250447018342
1,0.4,66,229.75159089999943,/*9*/UDDDFL,0.7532944413622363
2,0.4,62,226.4722787999999,/*9*/FBBLUUUR,0.7736332130685819
3,0.4,69,252.6948656000004,/*9*/RBBRUUUU,0.7897004001263289
4,0.4,96,351.44348399999944,/*9*/UBFUDDDLRBF,0.8209237570575093
5,0.4,113,397.1327678999987,/*9*/DDDDBRRFUB,0.7637142017121524
6,0.4,116,395.15845660000014,/*9*/RLDDFLUUUDD,0.8480511706486268
7,0.4,74,264.0662231999995,/*9*/DDDBUDRUUL,0.8035449756735655
8,0.4,78,256.3084807999985,/*9*/DDDLBFB,0.7542250447018342
9,0.4,62,218.07062899999983,/*9*/DDDLRFBF,0.7592521203681829
