category,walk_id,sample_id,rank_group,step,fitness,genotype,mutation_attempts
f9,9-1,1,best,0,0.29763778695088533,/*9*/RDRB,0
f9,9-1,1,best,1,0.3082076458878003,/*9*/RDLRB,1
f9,9-1,1,best,2,0.2409905006840325,/*9*/RDLDB,2
f9,9-1,1,best,3,0.20907575409873344,/*9*/RDUDB,2
f9,9-1,1,best,4,0.2521008431591585,/*9*/RDRDB,1
f9,9-1,1,best,5,0.27540196850797827,/*9*/RDDB,2
f9,9-1,1,best,6,0.1483725701644702,/*9*/RUDB,2
f9,9-1,1,best,7,0.207799992122165,/*9*/RLDB,1
f9,9-1,1,best,8,0.1091095743451378,/*9*/RBDB,1
f9,9-1,1,best,9,0.207799992122165,/*9*/RLDB,1
f9,9-1,1,best,10,0.27680000109778835,/*9*/RRDB,1
f9,9-1,1,best,11,0.1541296877562301,/*9*/BRDB,2
f9,9-1,1,best,12,0.2433546961538661,/*9*/BRDUB,1
f9,9-1,1,best,13,0.2800882997385429,/*9*/URDUB,1
f9,9-1,1,best,14,0.25046532334315225,/*9*/LRDUB,1
f9,9-1,1,best,15,0.2433546961538661,/*9*/BRDUB,1
f9,9-1,1,best,16,0.2431239001759699,/*9*/DRDUB,1
f9,9-1,1,best,17,0.3748384995235921,/*9*/DRDLB,2
f9,9-1,1,best,18,0.2953357781730183,/*9*/BRDLB,1
f9,9-1,1,best,19,0.35793636635319964,/*9*/URDLB,1
f9,9-1,1,best,20,0.2960548241791493,/*9*/URDFLB,1
f9,9-1,1,best,21,0.17606824412333352,/*9*/FRDFLB,1
f9,9-1,1,best,22,0.12160724014237008,/*9*/FRDFBB,2
f9,9-1,1,best,23,0.12161967459275008,/*9*/FLDFBB,1
f9,9-1,1,best,24,0.2344701855315659,/*9*/FLDRBB,1
f9,9-1,1,best,25,0.09951769231050775,/*9*/FLDBBB,1
f9,9-1,1,best,26,0.0998487392072413,/*9*/FBLDBBB,1
f9,9-1,1,best,27,0.1905433450738175,/*9*/FRLDBBB,3
f9,9-1,1,best,28,0.1493122276204048,/*9*/FRFLDBBB,1
f9,9-1,1,best,29,0.1497402751759697,/*9*/FRFRDBBB,1
f9,9-1,1,best,30,0.1493122276204048,/*9*/FRFLDBBB,1
f9,9-2,2,best,0,0.44634671246041435,/*9*/UFDL,0
f9,9-2,2,best,1,0.00024841263092990234,/*9*/URDL,1
f9,9-2,2,best,2,0.4463485105553209,/*9*/URDB,2
f9,9-2,2,best,3,0.15412896843018983,/*9*/FRDB,2
f9,9-2,2,best,4,0.20907575409873344,/*9*/RDB,1
f9,9-2,2,best,5,0.10860270432327111,/*9*/DRDB,3
f9,9-2,2,best,6,0.10807244549808961,/*9*/DRBB,1
f9,9-2,2,best,7,0.1474299679251846,/*9*/DRB,2
f9,9-2,2,best,8,0.20938328122118702,/*9*/URB,1
f9,9-2,2,best,9,0.10858083718334838,/*9*/UURB,3
f9,9-2,2,best,10,0.20938328122118702,/*9*/URB,2
f9,9-2,2,best,11,0.25409296487067556,/*9*/URLB,4
f9,9-2,2,best,12,0.10868725928894425,/*9*/URLLB,3
f9,9-2,2,best,13,0.28820624297563074,/*9*/URLUB,1
f9,9-2,2,best,14,0.3327859564332302,/*9*/UFLUB,1
f9,9-2,2,best,15,0.40996008037585624,/*9*/UFFLUB,2
f9,9-2,2,best,16,0.2009689964303601,/*9*/LFFLUB,1
f9,9-2,2,best,17,0.18948556258892255,/*9*/LFFLDB,1
f9,9-2,2,best,18,0.14448505005556475,/*9*/BLFFLDB,1
f9,9-2,2,best,19,0.1926130009821225,/*9*/BLLFLDB,2
f9,9-2,2,best,20,0.22093600031526034,/*9*/BLLRLDB,1
f9,9-2,2,best,21,0.2713430229908619,/*9*/BLLRLD,2
f9,9-2,2,best,22,0.20817910897850112,/*9*/BLRLD,2
f9,9-2,2,best,23,0.2890978810038707,/*9*/BLRRD,2
f9,9-2,2,best,24,0.2727262759206736,/*9*/BFRRD,1
f9,9-2,2,best,25,0.4457753487602613,/*9*/BFURD,1
f9,9-2,2,best,26,0.35120976701513024,/*9*/RFURD,1
f9,9-2,2,best,27,0.18314078775924508,/*9*/RFURB,1
f9,9-2,2,best,28,0.154189045717967,/*9*/FURB,1
f9,9-2,2,best,29,0.28323379776641405,/*9*/FULRB,1
f9,9-2,2,best,30,0.20774513841300396,/*9*/FULR,1
f9,9-3,3,best,0,0.5017941764264753,/*9*/DUFFDL,0
f9,9-3,3,best,1,0.5053354050419364,/*9*/UFFDL,2
f9,9-3,3,best,2,0.44634671246041435,/*9*/UFBFDL,1
f9,9-3,3,best,3,0.1532666163074391,/*9*/LFBFDL,1
f9,9-3,3,best,4,0.26943788267851565,/*9*/LFBDDL,1
f9,9-3,3,best,5,0.3250012329398266,/*9*/RFBDDL,1
f9,9-3,3,best,6,0.3674904459538581,/*9*/RFBDFL,1
f9,9-3,3,best,7,0.48284940959733896,/*9*/DFBDFL,1
f9,9-3,3,best,8,0.26872812844405825,/*9*/DFFDFL,1
f9,9-3,3,best,9,0.2691017120603447,/*9*/DFFDFRL,1
f9,9-3,3,best,10,0.24454395341894405,/*9*/DFFDFRB,1
f9,9-3,3,best,11,0.40135841603881867,/*9*/DFBDFRB,2
f9,9-3,3,best,12,0.0844790007668432,/*9*/DFBFFRB,1
f9,9-3,3,best,13,0.10813506665227937,/*9*/DFBFBFRB,1
f9,9-3,3,best,14,0.10850162814960262,/*9*/DFBFBLRB,1
f9,9-3,3,best,15,0.10831669857305674,/*9*/DFBFBLB,1
f9,9-3,3,best,16,0.10810810354487421,/*9*/DBFBLB,3
f9,9-3,3,best,17,0.10810725545159672,/*9*/DBFBRB,2
f9,9-3,3,best,18,0.08468732238765247,/*9*/DBFRRB,1
f9,9-3,3,best,19,0.06874392907339995,/*9*/DBBRRB,1
f9,9-3,3,best,20,0.2817336183248541,/*9*/DBBDRB,2
f9,9-3,3,best,21,0.08452161466923337,/*9*/DBBFRB,1
f9,9-3,3,best,22,0.10829325922578671,/*9*/DBFRB,2
f9,9-3,3,best,23,0.18295030699003206,/*9*/DBURB,1
f9,9-3,3,best,24,0.08451741507912107,/*9*/DBBRB,1
f9,9-3,3,best,25,0.10809185747012096,/*9*/DBLRB,1
f9,9-3,3,best,26,0.14743840176281064,/*9*/DBLRF,1
f9,9-3,3,best,27,0.08448235246630137,/*9*/DBLLRF,1
f9,9-3,3,best,28,0.10807877359214207,/*9*/DBLLR,2
f9,9-3,3,best,29,0.10807877359214207,/*9*/DBLLRR,1
f9,9-3,3,best,30,0.18365317206242956,/*9*/DBDLRR,1
f9,9-4,4,best,0,0.5276736432571427,/*9*/BDDBFRBUD,0
f9,9-4,4,best,1,0.46404676330340033,/*9*/BDDLFRBUD,1
f9,9-4,4,best,2,0.20181518283253652,/*9*/BFDLFRBUD,1
f9,9-4,4,best,3,0.3997569673588422,/*9*/BFDLFRBDD,1
f9,9-4,4,best,4,0.4503800863515681,/*9*/LFDLFRBDD,1
f9,9-4,4,best,5,0.365999699433256,/*9*/DFDLFRBDD,1
f9,9-4,4,best,6,0.29384459135971497,/*9*/DFLLFRBDD,1
f9,9-4,4,best,7,0.3002045768849666,/*9*/DFLLFRBRD,1
f9,9-4,4,best,8,0.2972811212191955,/*9*/DBLLFRBRD,1
f9,9-4,4,best,9,0.17149330781451336,/*9*/DBLLFRFRD,1
f9,9-4,4,best,10,0.3757852222062552,/*9*/DBLLFRFDD,1
f9,9-4,4,best,11,0.4227810426836114,/*9*/DBLLFUFDD,1
f9,9-4,4,best,12,0.06922243971122868,/*9*/DBLRFUFDD,1
f9,9-4,4,best,13,0.2922089994141781,/*9*/DBLRFUFDR,1
f9,9-4,4,best,14,0.29316925004388006,/*9*/DBLRFUBDR,1
f9,9-4,4,best,15,0.2817954165843552,/*9*/DBDRFUBDR,1
f9,9-4,4,best,16,0.29201730550698163,/*9*/DBDRFURBDR,1
f9,9-4,4,best,17,0.25568819508789065,/*9*/DBDRFURBFR,1
f9,9-4,4,best,18,0.35328250715376847,/*9*/LBDRFURBFR,1
f9,9-4,4,best,19,0.2041133918605647,/*9*/LBRFURBFR,1
f9,9-4,4,best,20,0.22396316034801902,/*9*/LBRFUFBFR,1
f9,9-4,4,best,21,0.2369145426905002,/*9*/LBFFUFBFR,1
f9,9-4,4,best,22,0.32989296888692277,/*9*/LBFFUFBBFR,2
f9,9-4,4,best,23,0.21893743844616156,/*9*/LBFFUFDBBFR,1
