category,walk_id,sample_id,rank_group,source_run_id,source_generation,source_fitness,recorded_initial_fitness
f0,0-1,1,best,3,5,0.0304687134650646,0.0304687134650646
f0,0-2,2,best,5,10,0.26427672855677853,0.26427672855677853
f0,0-3,3,best,9,10,0.4039479725576017,0.4039479725576017
f0,0-4,4,best,8,20,0.6031995297747355,0.6031995297747355
f0,0-5,5,best,8,25,0.7243929042694863,0.7243929042694863
f0,0-6,6,high,3,35,0.8525670114624003,0.8525670114624003
f0,0-7,7,high,4,45,0.8751320739692017,0.8751320739692017
f0,0-8,8,high,8,55,0.9083946984780974,0.9083946984780974
f0,0-9,9,high,8,90,0.941761835896929,0.941761835896929
f0,0-10,10,high,3,80,0.971422054833095,0.971422054833095
f0,0-11,11,medium,4,60,1.0193609037899614,1.0193609037899614
f0,0-12,12,medium,4,65,1.061601820440608,1.061601820440608
f0,0-13,13,medium,9,95,1.0807001652099195,1.0807001652099195
f0,0-14,14,medium,2,100,1.1065012485601935,1.1065012485601935
f0,0-15,15,medium,5,55,1.1309279736596716,1.1309279736596716
f0,0-16,16,worst,10,95,1.1611848674104912,1.1611848674104912
f0,0-17,17,worst,7,65,1.1868756861889411,1.1868756861889411
f0,0-18,18,worst,5,65,1.2539457813265131,1.2539457813265131
f0,0-19,19,worst,5,85,1.4621137585056487,1.4621137585056487
f0,0-20,20,worst,6,100,1.5711914416454353,1.5711914416454353
f1,1-1,1,best,6,5,0.0018923879070592985,0.0018923879070592985
f1,1-2,2,best,10,10,0.16429312138667707,0.16429312138667707
f1,1-3,3,best,1,15,0.48501601133596084,0.48501601133596084
f1,1-4,4,best,4,25,0.5840066206886622,0.5840066206886622
f1,1-5,5,best,9,35,0.7220781473722768,0.7220781473722768
f1,1-6,6,high,4,30,0.8178132591424675,0.8178132591424675
f1,1-7,7,high,9,45,0.882531061149138,0.882531061149138
f1,1-8,8,high,9,50,0.9103331204755007,0.9103331204755007
f1,1-9,9,high,8,65,0.9371794952927921,0.9371794952927921
f1,1-10,10,high,5,70,0.9657105190955615,0.9657105190955615
f1,1-11,11,medium,6,55,1.0535651850408874,1.0535651850408874
f1,1-12,12,medium,8,95,1.0737443086667446,1.0737443086667446
f1,1-13,13,medium,1,100,1.133830496005901,1.133830496005901
f1,1-14,14,medium,5,90,1.1639370803355154,1.1639370803355154
f1,1-15,15,medium,2,85,1.261409287465701,1.261409287465701
f1,1-16,16,worst,3,50,1.3246319302240566,1.3246319302240566
f1,1-17,17,worst,4,45,1.3597803005357922,1.3597803005357922
f1,1-18,18,worst,7,40,1.4201210878990775,1.4201210878990775
f1,1-19,19,worst,7,70,1.502403781902427,1.502403781902427
f1,1-20,20,worst,4,100,1.9314967366975415,1.9314967366975415
f4,4-1,1,best,10,10,0.009540191505434586,0.009540191505434586
f4,4-2,2,best,9,10,0.26828269569191165,0.26828269569191165
f4,4-3,3,best,5,25,0.5114484380664289,0.5114484380664289
f4,4-4,4,best,1,35,0.6666614825296321,0.6666614825296321
f4,4-5,5,best,3,35,0.7805896304077112,0.7805896304077112
f4,4-6,6,high,3,55,0.8789561762382311,0.8789561762382311
f4,4-7,7,high,4,65,0.9178269567931966,0.9178269567931966
f4,4-8,8,high,6,40,0.9645465538410198,0.9645465538410198
f4,4-9,9,high,4,90,1.0700908502421314,1.0700908502421314
f4,4-10,10,high,9,50,1.1569768390930342,1.1569768390930342
f4,4-11,11,medium,9,55,1.2030790966621043,1.2030790966621043
f4,4-12,12,medium,3,90,1.2515181124423282,1.2515181124423282
f4,4-13,13,medium,6,75,1.3314602759264618,1.3314602759264618
f4,4-14,14,medium,1,85,1.3963046027964703,1.3963046027964703
f4,4-15,15,medium,10,95,1.4408015916247017,1.4408015916247017
f4,4-16,16,worst,8,40,1.4988645628432997,1.4988645628432997
f4,4-17,17,worst,5,90,1.5972174473207914,1.5972174473207914
f4,4-18,18,worst,8,65,1.8625467393203274,1.8625467393203274
f4,4-19,19,worst,8,95,1.9376687046147625,1.9376687046147625
f4,4-20,20,worst,7,100,2.223677782275789,2.223677782275789
f9,9-1,1,best,3,5,0.29763778695088533,0.29763778695088533
f9,9-2,2,best,4,5,0.44634671246041435,0.44634671246041435
f9,9-3,3,best,5,10,0.5017941764264753,0.5017941764264753
f9,9-4,4,best,1,20,0.5276736432571427,0.5276736432571427
f9,9-5,5,best,4,65,0.5929922535856106,0.5929922535856106
f9,9-6,6,high,3,10,0.6299791659835987,0.6299791659835987
f9,9-7,7,high,10,25,0.68445340894463,0.68445340894463
f9,9-8,8,high,7,75,0.7348313170335047,0.7348313170335047
f9,9-9,9,high,2,60,0.7533341425582133,0.7533341425582133
f9,9-10,10,high,6,65,0.7538730986188049,0.7538730986188049
f9,9-11,11,medium,6,25,0.7542250447018342,0.7542250447018342
f9,9-12,12,medium,7,15,0.7582748874690542,0.7582748874690542
f9,9-13,13,medium,1,100,0.7590057910440126,0.7590057910440126
f9,9-14,14,medium,2,75,0.759122701748835,0.759122701748835
f9,9-15,15,medium,3,50,0.7592521203681829,0.7592521203681829
f9,9-16,16,worst,5,75,0.7933140190274836,0.7933140190274836
f9,9-17,17,worst,9,80,0.8002880876026528,0.8002880876026528
f9,9-18,18,worst,5,65,0.8009823631270352,0.8009823631270352
f9,9-19,19,worst,7,65,0.8290920581647794,0.8290920581647794
f9,9-20,20,worst,9,95,0.9459989494693777,0.9459989494693777
