representation,walk_id,rank_group,initial_fitness,final_fitness,net_change,mean_fitness,mean_step_change,step_change_std,minimum_fitness,maximum_fitness,steps_above_start,infeasible_points
f0,0-1,worst,0.0304687134650646,0.0769847725131465,0.046516059048081905,0.07985595643387475,0.0015505353016027304,0.013006819541814818,0.030326256606577846,0.10840005897849792,28,0
f0,0-2,worst,0.26427672855677853,0.1296125264967421,-0.13466420206003643,0.17695466535950807,-0.004488806735334547,0.025267233874270562,0.12332947820812176,0.26427672855677853,0,0
f0,0-3,worst,0.4039479725576017,0.09081589658863726,-0.3131320759689644,0.16209200763877804,-0.01043773586563215,0.06988590448465917,0.013566412127745479,0.4039479725576017,0,0
f0,0-4,worst,0.6031995297747355,0.07737074818557137,-0.5258287815891641,0.3355730854481778,-0.017527626052972135,0.08379097660636158,0.05615629731080754,0.6031995297747355,0,0
f0,0-5,worst,0.7243929042694863,0.13787528297083418,-0.5865176212986521,0.2820865412732938,-0.019550587376621735,0.11399176011203868,0.11824931895878872,0.7243929042694863,0,0
f0,0-6,medium,0.8525670114624003,0.2228538373834455,-0.6297131740789548,0.20963381049134522,-0.02099043913596516,0.13452564457374505,0.01979838142714809,0.8533858720889295,3,0
f0,0-7,medium,0.8751320739692017,0.38316933865962194,-0.49196273530957974,0.35333717074776294,-0.01639875784365266,0.11911026187218272,0.10817986797681477,0.8751320739692017,0,0
f0,0-8,medium,0.9083946984780974,0.22545939151909467,-0.6829353069590027,0.4402874432767507,-0.022764510231966757,0.16960656948624628,0.21883056522627703,0.9083946984780974,0,0
f0,0-9,medium,0.941761835896929,0.27809020284047004,-0.6636716330564589,0.265935282979974,-0.02212238776854863,0.09816613541330044,0.18066478533533895,0.941761835896929,0,0
f0,0-10,medium,0.971422054833095,0.06940307091874783,-0.9020189839143471,0.14509676805767582,-0.03006729946381157,0.2696251983529958,0.01001706385665967,0.971422054833095,0,0
f0,0-11,high,1.0193609037899614,0.010652270368331293,-1.00870863342163,0.10273095400506112,-0.03362362111405434,0.15274759078090527,0.009462661449715417,1.0193609037899614,0,0
f0,0-12,high,1.061601820440608,0.040543653872689406,-1.0210581665679186,0.3268976241258254,-0.034035272218930615,0.21090194746990315,0.024868369458105364,1.061601820440608,0,0
f0,0-13,high,1.0807001652099195,0.12065215929070902,-0.9600480059192105,0.31733329666601146,-0.032001600197307016,0.16148354675622403,0.11387638920349576,1.0807001652099195,0,0
f0,0-14,high,1.1065012485601935,0.1143726474828366,-0.9921286010773569,0.13294442324139127,-0.03307095336924524,0.13919467064816204,0.020624835306700007,1.1065012485601935,0,0
f0,0-15,high,1.1309279736596716,0.120208197260619,-1.0107197763990525,0.29845216260522484,-0.033690659213301756,0.14440227496097924,0.12017591330319842,1.1309279736596716,0,0
f0,0-16,best,1.1611848674104912,0.21766450116535652,-0.9435203662451347,0.5386330588784766,-0.03145067887483783,0.1476441972290324,0.20181561054614164,1.161199442919725,2,0
f0,0-17,best,1.1868756861889411,0.10620257016557962,-1.0806731160233616,0.2964396186250276,-0.03602243720077871,0.1236797744683105,0.039778184195845064,1.1868756861889411,0,0
f0,0-18,best,1.2539457813265131,0.0516115216701803,-1.202334259656333,0.30789238207419367,-0.04007780865521111,0.195436683293838,0.0516115216701803,1.2832827014270713,3,0
f0,0-19,best,1.4621137585056487,0.10877168424790339,-1.3533420742577453,0.1668107713714734,-0.04511140247525818,0.23042538418835276,0.06402433524175324,1.4621137585056487,0,0
f0,0-20,best,1.5711914416454353,0.30140864080245544,-1.26978280084298,0.40524006870909596,-0.04232609336143267,0.1727088937420129,0.1408108004320003,1.5711914416454353,0,0
f1,1-1,worst,0.0018923879070592985,0.02032964109042354,0.01843725318336424,0.03437674516648289,0.0006145751061121419,0.02834089588275728,0.0018923879070592985,0.12581217187177007,30,0
f1,1-2,worst,0.16429312138667707,0.27135085979641904,0.10705773840974198,0.08524281828892441,0.0035685912803247316,0.04817578630856004,0.005786861678878454,0.27135085979641904,7,0
f1,1-3,worst,0.48501601133596084,0.04569876854558174,-0.4393172427903791,0.20204539061900662,-0.014643908093012636,0.07138729416419155,0.0282357277150551,0.48501601133596084,0,0
f1,1-4,worst,0.5840066206886622,0.060075147152480565,-0.5239314735361816,0.11872626884335029,-0.017464382451206056,0.11797150357980425,0.008595057890198573,0.5840066206886622,0,0
f1,1-5,worst,0.7220781473722768,0.03002496532786882,-0.692053182044408,0.19508056558716566,-0.02306843940148027,0.08346108856150779,0.020118390367434232,0.7220781473722768,0,0
f1,1-6,medium,0.8178132591424675,0.0002692622170326139,-0.8175439969254349,0.24688950096772758,-0.027251466564181162,0.07093581367942701,0.0002644055836343013,0.8178132591424677,1,0
f1,1-7,medium,0.882531061149138,0.11627897183377996,-0.766252089315358,0.15002583937745595,-0.025541736310511935,0.15880908187878393,0.03014782122208662,0.882531061149138,0,0
f1,1-8,medium,0.9103331204755007,0.2409428881205312,-0.6693902323549695,0.40359929653411075,-0.02231300774516565,0.13901241002215256,0.13027984874890222,0.9103331204755007,0,0
f1,1-9,medium,0.9371794952927921,0.20253521890227455,-0.7346442763905175,0.34815011006667385,-0.02448814254635058,0.15468937576451983,0.12187993755679973,0.9371794952927921,0,0
f1,1-10,medium,0.9657105190955615,0.11637209242421556,-0.849338426671346,0.19255975943695008,-0.028311280889044874,0.12003271039136226,0.09177338913025013,0.9657105190955615,0,0
f1,1-11,high,1.0535651850408874,0.0016068439697234137,-1.051958341071164,0.13467811457348985,-0.035065278035705465,0.10772108845758496,0.0016068439697234137,1.0535651850408876,1,0
f1,1-12,high,1.0737443086667446,0.05265026234167462,-1.02109404632507,0.22715986968146043,-0.034036468210835676,0.09279671902271712,0.02593358677497442,1.0737443086667446,0,0
f1,1-13,high,1.133830496005901,0.003049221867924317,-1.1307812741379766,0.24680724365751985,-0.03769270913793255,0.0945490721563615,0.003049221867924317,1.133830496005901,0,0
f1,1-14,high,1.1639370803355154,0.06155991492237954,-1.1023771654131358,0.26721286192797694,-0.036745905513771195,0.16089162743746926,0.0004743030065922282,1.1639370803355154,0,0
f1,1-15,high,1.261409287465701,0.0019381686897382033,-1.2594711187759629,0.2598807918006128,-0.04198237062586543,0.14030029669641356,0.0019381686897382033,1.261409287465701,0,0
f1,1-16,best,1.3246319302240566,0.05597490617823407,-1.2686570240458226,0.08361061728777504,-0.04228856746819408,0.22370178192622903,0.015289370710253056,1.3246319302240566,0,0
f1,1-17,best,1.3597803005357922,0.017128985357011486,-1.3426513151787807,0.3168970001643806,-0.04475504383929269,0.22660650545255315,0.017128985357011486,1.3597803005357922,0,0
f1,1-18,best,1.4201210878990775,0.002403183809055033,-1.4177179040900225,0.12427987433941713,-0.0472572634696674,0.22249637303945177,0.002403183809055033,1.4201210878990775,0,0
f1,1-19,best,1.502403781902427,0.11391917833035291,-1.3884846035720741,0.2283873253493585,-0.04628282011906913,0.25694044119304077,0.04487878442156079,1.502403781902427,0,0
f1,1-20,best,1.9314967366975415,0.19740392839831816,-1.7340928082992233,0.15165451296897267,-0.05780309360997412,0.29775102949845056,0.0026527584843834004,1.9314967366975415,0,0
f4,4-1,worst,0.009540191505434586,0.17628411485817486,0.16674392335274027,0.09130387782414892,0.005558130778424677,0.07119228570361309,0.009540191505434586,0.2657392198779024,28,0
f4,4-2,worst,0.26828269569191165,0.024252409382806858,-0.24403028630910478,0.16559395447955919,-0.00813434287697016,0.07669335827133658,0.024252409382806858,0.3132039668809835,6,0
f4,4-3,worst,0.5114484380664289,0.082142173788698,-0.42930626427773094,0.1206068615665229,-0.0143102088092577,0.09884694200422446,0.0015249431743160561,0.5114484380664289,0,0
f4,4-4,worst,0.6666614825296321,0.018552501502608846,-0.6481089810270232,0.125161904249223,-0.021603632700900776,0.08924417614389933,0.005843067186358832,0.6666614825296321,0,0
f4,4-5,worst,0.7805896304077112,0.07155841239304403,-0.7090312180146672,0.2288816105480523,-0.023634373933822242,0.11567151193225236,0.07155841239304403,0.7805896304077112,0,0
f4,4-6,medium,0.8789561762382311,0.102343572619674,-0.7766126036185571,0.4654585320290018,-0.025887086787285234,0.14739074728486498,0.051279238883327014,0.8789561762382311,0,0
f4,4-7,medium,0.9178269567931966,0.0414639815869043,-0.8763629752062922,0.1802575925254199,-0.029212099173543074,0.186040191824952,0.0414639815869043,0.9178269567931966,0,0
f4,4-8,medium,0.9645465538410198,0.12130330258750108,-0.8432432512535187,0.3821836955250995,-0.0281081083751173,0.10319529494625973,0.027269570793005245,0.9645465538410198,0,0
f4,4-9,medium,1.0700908502421314,0.4762583564108325,-0.5938324938312989,0.34533833593164176,-0.019794416461043303,0.16118725092576583,0.07339374818577926,1.0700908502421314,0,0
f4,4-10,medium,1.1569768390930342,0.14579034102831687,-1.0111864980647174,0.27244982175521243,-0.033706216602157245,0.15941878314911628,0.034446805163647516,1.1569768390930342,0,0
f4,4-11,high,1.2030790966621043,0.33457034235752425,-0.8685087543045801,0.5662673221194704,-0.028950291810152674,0.29526441627307976,0.02299963701757383,1.2309082962170979,3,0
f4,4-12,high,1.2515181124423282,0.40163625595709573,-0.8498818564852325,0.3896805179795887,-0.028329395216174412,0.21545053887785823,0.14394288444630013,1.2515181124423282,0,0
f4,4-13,high,1.3314602759264618,0.2850011949975703,-1.0464590809288914,0.4888263969341632,-0.03488196936429638,0.15436059021973828,0.2614314225962761,1.3314602759264618,0,0
f4,4-14,high,1.3963046027964703,0.3935434829728426,-1.0027611198236277,0.4762489311271202,-0.033425370660787594,0.22870818239966464,0.06069827528862751,1.3963046027964703,0,0
