run,genetic_format,sample_index,parent_genotype,parent_fitness,genotype,fitness,status,mutation_attempts
19,H,0,"//H
3
j:",0.0,"//H
3
j:
n:-0.7621364272199571, -0.4634067630395293, -0.07534806523472071, 0.28188161831349134, -0.529607699252665, 0.4841758352704346, d=*
",0.0,feasible,20
19,H,0,"//H
3
j:",0.0,"//H
3
j:y1=-0.352
",0.0,feasible,20
19,H,0,"//H
3
j:",0.0,"//H
3
j:
c:0.4794343439862132, -0.37970714969560504, 0.723787150811404, -0.18221960216760635, 0.004253622610121965, -0.24679611809551716, -0.573
",0.0,feasible,20
19,H,0,"//H
3
j:",0.0,"//H
3
j:x2=-0.201
",0.0,feasible,20
19,H,0,"//H
3
j:",0.0,"//H
3
j:y0=0.087
",0.0,feasible,20
19,H,0,"//H
3
j:",0.0,"//H
3
j:
c:-0.6757371397688985, 0.28675125958397985, -0.7092024041339755, 0.304597360547632, -0.9876201855950058, -0.01814746903255582, 2.235
",0.0,feasible,20
19,H,0,"//H
3
j:",0.0,"//H
3
j:rotstif=0.979
",0.0,feasible,20
19,H,0,"//H
3
j:",0.0,"//H
3
j:
n:-0.31914960872381926, -0.8856493928469718, 0.13152177585288882, 0.37709462316706777, 0.02940582623705268, -0.8451147838495672, d=*
",0.0,feasible,20
19,H,0,"//H
3
j:",0.0,"//H
3
j:fr=0.765
",0.0,feasible,20
19,H,0,"//H
3
j:",0.0,"//H
3
j:y0=-0.171
",0.0,feasible,20
19,H,0,"//H
3
j:",0.0,"//H
3
j:rotstif=0.881
",0.0,feasible,20
19,H,0,"//H
3
j:",0.0,"//H
3
j:y1=0.264
",0.0,feasible,20
19,H,0,"//H
3
j:",0.0,"//H
3
j:-0.077
",0.0,feasible,20
19,H,0,"//H
3
j:",0.0,"//H
3
j:
j:-0.10885315667837858, -0.7140926127322018, -0.09743640571832657, -0.9906979408115149, 0.641953106969595, -0.08332064654678106, fr=0.335
",0.0,feasible,20
19,H,0,"//H
3
j:",0.0,"//H
3
j:
j:-0.06235182750970125, 0.4597026910632849, -0.03148026391863823, -0.0744834877550602, 0.6826620372012258, -0.3844260689802468, l=1.035
",0.0,feasible,20
19,H,0,"//H
3
j:",0.0,"//H
3
j:y0=-0.044
",0.0,feasible,20
19,H,0,"//H
3
j:",0.0,"//H
3
j:l=1.084
",0.0,feasible,20
19,H,0,"//H
3
j:",0.0,"//H
3
j:-0.337
",0.0,feasible,20
19,H,0,"//H
3
j:",0.0,"//H
3
j:fr=0.704
",0.0,feasible,20
19,H,0,"//H
3
j:",0.0,"//H
3
j:rotstif=0.894
",0.0,feasible,20
19,H,1,"//H
3
j:fr=1.232, l=1.288
j:-0.6863196543417871, -0.9403586103580892, -0.3843852109275758, 0.16574603505432606, -0.08843949576839805, 0.46888940036296844, fr=0.219, l=1.494
j:-0.1301681362092495, 0.24638049770146608, -0.3051411188207567, -0.016831539571285248, -0.46329030906781554, 0.8664751746691763, fr=0.566
j:0.31271009938791394, -0.9957642098888755, 0.6410097545012832, 0.022444213274866343, 0.685713714454323, -0.8985392861068249, rotstif=0.98, l=1.139
j:-0.2746449741534889, -0.930203415453434, 0.7023833845742047, 0.8966535176150501, -0.8274504682049155, 0.061535465996712446, fr=0.317
j:-0.5592169975861907, -0.5015589073300362, 0.3909180792979896, 0.8741004699841142, -0.8565223631449044, 0.5389576149173081, fr=0.053
j:-0.766899804584682, 0.23109012003988028, 0.9649368277750909, 0.517832774668932, -0.2141723297536373, -0.4945888193324208, l=0.858
j:0.880651964340359, -0.30085187777876854, -0.6866501029580832, 0.24879342317581177, 0.8663646643981338, -0.8035787246190012, fr=0.154, l=1.27
j:0.22607688838616014, 0.43801248678937554, -0.16354164946824312, -0.20047529228031635, 0.20193108962848783, -0.7827906915917993, fr=0.192, l=0.916
j:0.03838207898661494, 0.47861482901498675, -0.6321992641314864, -0.19232209585607052, 0.22770146559923887, -0.4993859762325883, rotstif=0.959
n:-0.8924018042162061, 0.13520141271874309, 0.4781468561850488, -0.4970626742579043, -0.11315431538969278, 0.20505503145977855, d=N:fo=0.131
n:-0.024873579386621714, -0.8698698976077139, -0.5972771397791803, 0.8411292009986937, -0.7776804659515619, -0.5516127552837133, d=""|:p=0.098, r=0.793""
n:0.4556529172696173, 0.12438347470015287, 0.10780448000878096, -0.9046550244092941, 0.21401952672749758, -0.5720867901109159, d=*
c:-0.7364886081777513, 0.06040527345612645, -0.791, -0.24600589321926236, -0.027521103620529175, -0.7432732051238418, -0.844
c:0.39755608746781945, -0.4530022921971977, -0.8268429292365909, -0.9165059649385512, -0.4875115449540317, -0.807606490328908, 0.401
",0.0002759501649630999,"//H
3
j:fr=1.232, l=1.288
j:-0.6863196543417871, -0.9403586103580892, -0.3843852109275758, 0.16574603505432606, -0.08843949576839805, 0.46888940036296844, fr=0.219, l=1.494
j:-0.1301681362092495, 0.24638049770146608, -0.3051411188207567, -0.016831539571285248, -0.46329030906781554, 0.8664751746691763, fr=0.566
j:0.31271009938791394, -0.823, 0.6410097545012832, 0.022444213274866343, 0.685713714454323, -0.8985392861068249, rotstif=0.98, l=1.139
j:-0.2746449741534889, -0.930203415453434, 0.7023833845742047, 0.8966535176150501, -0.8274504682049155, 0.061535465996712446, fr=0.317
j:-0.5592169975861907, -0.5015589073300362, 0.3909180792979896, 0.8741004699841142, -0.8565223631449044, 0.5389576149173081, fr=0.053
j:-0.766899804584682, 0.23109012003988028, 0.9649368277750909, 0.517832774668932, -0.2141723297536373, -0.4945888193324208, l=0.858
j:0.880651964340359, -0.30085187777876854, -0.6866501029580832, 0.24879342317581177, 0.8663646643981338, -0.8035787246190012, fr=0.154, l=1.27
j:0.22607688838616014, 0.43801248678937554, -0.16354164946824312, -0.20047529228031635, 0.20193108962848783, -0.7827906915917993, fr=0.192, l=0.916
j:0.03838207898661494, 0.47861482901498675, -0.6321992641314864, -0.19232209585607052, 0.22770146559923887, -0.4993859762325883, rotstif=0.959
n:-0.8924018042162061, 0.13520141271874309, 0.4781468561850488, -0.4970626742579043, -0.11315431538969278, 0.20505503145977855, d=N:fo=0.131
n:-0.024873579386621714, -0.8698698976077139, -0.5972771397791803, 0.8411292009986937, -0.7776804659515619, -0.5516127552837133, d=""|:p=0.098, r=0.793""
n:0.4556529172696173, 0.12438347470015287, 0.10780448000878096, -0.9046550244092941, 0.21401952672749758, -0.5720867901109159, d=*
c:-0.7364886081777513, 0.06040527345612645, -0.791, -0.24600589321926236, -0.027521103620529175, -0.7432732051238418, -0.844
c:0.39755608746781945, -0.4530022921971977, -0.8268429292365909, -0.9165059649385512, -0.4875115449540317, -0.807606490328908, 0.401
",4.6657236413697874e-05,feasible,20
