run,genetic_format,iteration,sample_index,genotype,fitness,parent_genotype
1,0,0,0,"//0
p:
p:1
j:0,1",0.0,
1,0,24,1,"//0
p:fr=0.376
p:1.0
p:1.248, -0.084, -0.179, fr=0.034
p:1.098, 0.174, -0.51, fr=0.064
j:2, 1
j:3, 1, stif=0.971
j:0, 1
n:j=2, d=|
n:p=3, d=T
c:0, 1, -3.221
",0.000509629287070715,"//0
p:fr=0.376
p:1.0
p:1.248, -0.084, -0.179, fr=0.034
p:1.098, 0.174, -0.51, fr=0.064
j:2, 1
j:3, 1, stif=0.856
j:0, 1
n:j=2, d=|
n:p=3, d=T
c:0, 1, -3.221
"
1,0,50,2,"//0
p:0.035, -0.049, 0.003, fr=0.172, ing=0.175
p:1.0, fr=0.319
p:1.248, -0.084, -0.179, fr=0.06
p:1.098, 0.174, -0.51, fr=0.137
j:2, 1
j:3, 1, stif=0.971
j:0, 1, stif=0.829
n:j=2, d=|:r=0.617
n:p=3, d=T
c:0, 1, -0.781
",0.0008633110699305035,"//0
p:0.035, -0.049, 0.003, fr=0.172
p:1.0, fr=0.319
p:1.248, -0.084, -0.179, fr=0.06
p:1.098, 0.174, -0.51, fr=0.137
j:2, 1
j:3, 1, stif=0.971
j:0, 1, stif=0.829
n:j=2, d=|:r=0.617
n:p=3, d=T
c:0, 1, -0.781
"
1,0,77,3,"//0
p:0.047, -0.154, 0.069, fr=0.172
p:1.0, fr=0.592
p:1.248, -0.084, -0.179, fr=0.06, ing=0.369
p:1.098, 0.174, -0.51, fr=0.164
j:2, 1
j:3, 1, stif=0.971
j:0, 1, stif=0.782
n:j=2, d=|:r=0.658
n:p=3, d=T:rz=0.202
c:0, 1, -0.781
",0.0009634653339932756,"//0
p:0.047, -0.154, 0.069, fr=0.172
p:1.0, fr=0.592
p:1.248, -0.084, -0.179, fr=0.06
p:1.098, 0.174, -0.51, fr=0.164
j:2, 1
j:3, 1, stif=0.971
j:0, 1, stif=0.782
n:j=2, d=|:r=0.658
n:p=3, d=T:rz=0.202
c:0, 1, -0.781
"
10,0,0,0,"//0
p:
p:1
j:0,1",0.0,
10,0,11,1,"//0
p:-0.3152481382400312, -0.0201927657105187, 0.15758905590702477, ing=0.19
p:1.0
p:1.489, 0.377, -0.608
p:1.257, -0.288, -0.81
j:0, 1, stif=0.927
j:2, 0, stif=0.938
j:3, 2
n:j=1, d=|
n:j=0, d=@:p=0.808
",0.006040988670134634,"//0
p:-0.3152481382400312, -0.0201927657105187, 0.15758905590702477
p:1.0
p:1.489, 0.377, -0.608
p:1.257, -0.288, -0.81
j:0, 1, stif=0.927
j:2, 0, stif=0.938
j:3, 2
n:j=1, d=|
n:j=0, d=@:p=0.808
"
10,0,23,2,"//0
p:-0.3152481382400312, -0.0201927657105187, 0.15758905590702477, fr=0.279
p:1.0
p:1.489, 0.377, -0.608
p:1.257, -0.288, -0.81, fr=0.34
j:0, 1, stif=0.927
j:2, 0, stif=0.938
j:3, 2
n:j=1, d=|:r=0.82
n:j=0, d=@:p=0.808
n:j=2, d=@
",0.006206206209635939,"//0
p:-0.3152481382400312, -0.0201927657105187, 0.15758905590702477, fr=0.279
p:1.0
p:1.489, 0.377, -0.608
p:1.257, -0.288, -0.81, fr=0.34
j:0, 1, stif=0.927
j:2, 0, stif=0.938
j:3, 2
n:j=1, d=|
n:j=0, d=@:p=0.808
n:j=2, d=@
"
10,0,35,3,"//0
p:-0.3152481382400312, -0.0201927657105187, 0.15758905590702477, fr=0.279
p:1.0, ing=0.178
p:1.489, 0.377, -0.608
p:1.257, -0.288, -0.81, fr=0.34
j:0, 1, stif=0.927
j:2, 0, stif=0.938
j:3, 2
n:j=1, d=|
n:j=0, d=@:p=0.808
n:j=2, d=@
",0.006206206209635939,"//0
p:-0.3152481382400312, -0.0201927657105187, 0.15758905590702477, fr=0.279
p:1.0
p:1.489, 0.377, -0.608
p:1.257, -0.288, -0.81, fr=0.34
j:0, 1, stif=0.927
j:2, 0, stif=0.938
j:3, 2
n:j=1, d=|
n:j=0, d=@:p=0.808
n:j=2, d=@
"
11,0,0,0,"//0
p:
p:1
j:0,1",0.0,
11,0,86,1,"//0
p:-0.095, -0.016, 0.018, fr=0.745
p:0.9231713227675431, 0.0479877580739958, 0.5073789347441207
p:1.085, 0.257, 1.557, ing=0.306
p:0.694, -1.51, 1.74, fr=0.358
p:0.643, -1.44, 2.034, fr=0.068
j:3, 1, stif=0.968
j:2, 3, stif=0.908
j:0, 2
j:4, 3, stif=0.944
n:j=2, d=@:p=0.758
n:p=2, d=Gpart
n:j=0, d=|:r=0.888
n:p=2, d=Gpart:ry=-1.851
c:0, 3, 0.341
c:2, 1, 0.199
",0.003113213463819365,"//0
p:-0.095, -0.016, 0.018, fr=0.745
p:0.9231713227675431, 0.0479877580739958, 0.5073789347441207
p:1.085, 0.257, 1.557
p:0.694, -1.51, 1.74, fr=0.358
p:0.643, -1.44, 2.034, fr=0.068
j:3, 1, stif=0.968
j:2, 3, stif=0.908
j:0, 2
j:4, 3, stif=0.944
n:j=2, d=@:p=0.758
n:p=2, d=Gpart
n:j=0, d=|:r=0.888
n:p=2, d=Gpart:ry=-1.851
c:0, 3, 0.341
c:2, 1, 0.199
"
11,0,173,2,"//0
p:-0.095, -0.016, 0.018, fr=0.376
p:0.9231713227675431, 0.0479877580739958, 0.5073789347441207
p:1.085, 0.257, 1.557
p:0.694, -1.51, 1.74, fr=0.358
p:0.643, -1.44, 2.034, fr=0.035
j:3, 1, stif=0.962
j:2, 3, stif=0.773
j:0, 2, stif=0.972
j:4, 3, stif=0.955, rotstif=0.994
n:j=2, d=@:p=0.381
n:p=2, d=Gpart
n:j=0, d=|:r=0.98
n:p=2, d=Gpart:ry=-1.851
c:0, 3, 0.341
c:2, 1, 0.199
",0.0035189556501779647,"//0
p:-0.095, -0.016, 0.018, fr=0.376
p:0.9231713227675431, 0.0479877580739958, 0.5073789347441207
p:1.085, 0.257, 1.557
p:0.694, -1.51, 1.74, fr=0.358
p:0.643, -1.44, 2.034, fr=0.035
j:3, 1, stif=0.962
j:2, 3, stif=0.773
j:0, 2, stif=0.972
j:4, 3, stif=0.955
n:j=2, d=@:p=0.381
n:p=2, d=Gpart
n:j=0, d=|:r=0.98
n:p=2, d=Gpart:ry=-1.851
c:0, 3, 0.341
c:2, 1, 0.199
"
