run,genetic_format,iteration,sample_index,genotype,fitness,parent_genotype
11,0,0,0,"//0
p:
p:1
j:0,1",0.0,
11,0,1,1,"//0
p:
p:1.0
p:-0.207, 0.175, 0.304
j:0, 1
j:2, 0
",5.329499729006473e-07,"//0
p:
p:1
j:0,1"
11,0,2,2,"//0
p:
p:1.0
p:-0.207, 0.175, 0.304
p:-0.553, 0.253, -0.73
j:0, 1
j:2, 0
j:3, 0
",8.683617616474191e-07,"//0
p:
p:1.0
p:-0.207, 0.175, 0.304
j:0, 1
j:2, 0
"
11,0,4,3,"//0
p:
p:1.0
p:-0.154, 0.203, 0.314
p:-0.553, 0.253, -0.73
j:0, 1
j:2, 0
j:3, 0
",1.2832152098789528e-06,"//0
p:
p:1.0
p:-0.207, 0.175, 0.304
p:-0.553, 0.253, -0.73
j:0, 1
j:2, 0
j:3, 0
"
11,0,5,4,"//0
p:
p:1.0
p:-0.154, 0.203, 0.314
p:-0.553, 0.253, -0.73
j:0, 1
j:2, 0, stif=0.911
j:3, 0
",1.3925734084724552e-06,"//0
p:
p:1.0
p:-0.154, 0.203, 0.314
p:-0.553, 0.253, -0.73
j:0, 1
j:2, 0
j:3, 0
"
11,0,6,5,"//0
p:
p:1.0
p:-0.154, 0.203, 0.314
p:-0.553, 0.253, -0.73
j:0, 1
j:2, 0, stif=0.911
j:3, 0
j:2, 3
",2.6982699566319856e-06,"//0
p:
p:1.0
p:-0.154, 0.203, 0.314
p:-0.553, 0.253, -0.73
j:0, 1
j:2, 0, stif=0.911
j:3, 0
"
11,0,7,6,"//0
p:fr=0.305
p:1.0
p:-0.154, 0.203, 0.314
p:-0.553, 0.253, -0.73
j:0, 1
j:2, 0, stif=0.911
j:3, 0
j:2, 3
",2.7003277460866966e-06,"//0
p:
p:1.0
p:-0.154, 0.203, 0.314
p:-0.553, 0.253, -0.73
j:0, 1
j:2, 0, stif=0.911
j:3, 0
j:2, 3
"
11,0,8,7,"//0
p:fr=0.056
p:1.0
p:-0.154, 0.203, 0.314
p:-0.553, 0.253, -0.73
j:0, 1
j:2, 0, stif=0.911
j:3, 0
j:2, 3
",2.7951759893549004e-06,"//0
p:fr=0.305
p:1.0
p:-0.154, 0.203, 0.314
p:-0.553, 0.253, -0.73
j:0, 1
j:2, 0, stif=0.911
j:3, 0
j:2, 3
"
11,0,9,8,"//0
p:fr=0.056
p:1.0
p:-0.154, 0.203, 0.314
p:-0.553, 0.253, -0.73, fr=0.323
j:0, 1
j:2, 0, stif=0.911
j:3, 0
j:2, 3
",2.8119769806505093e-06,"//0
p:fr=0.056
p:1.0
p:-0.154, 0.203, 0.314
p:-0.553, 0.253, -0.73
j:0, 1
j:2, 0, stif=0.911
j:3, 0
j:2, 3
"
11,0,11,9,"//0
p:fr=0.056
p:1.0
p:-0.154, 0.203, 0.314
p:-0.553, 0.253, -0.73, fr=0.323
j:0, 1
j:2, 0, stif=0.989
j:3, 0
j:2, 3
",2.877895001495102e-06,"//0
p:fr=0.056
p:1.0
p:-0.154, 0.203, 0.314
p:-0.553, 0.253, -0.73, fr=0.323
j:0, 1
j:2, 0, stif=0.911
j:3, 0
j:2, 3
"
