run,genetic_format,sample_index,parent_genotype,parent_fitness,genotype,fitness,status,mutation_attempts
48,H,0,"//H
3
j:",0.0,"//H
3
j:0.052
",0.0,feasible,20
48,H,0,"//H
3
j:",0.0,"//H
3
j:y2=-0.302
",0.0,feasible,20
48,H,0,"//H
3
j:",0.0,"//H
3
j:y1=0.544
",0.0,feasible,20
48,H,0,"//H
3
j:",0.0,"//H
3
j:
c:-0.4364877715706825, -0.8573454436846077, -0.9409453701227903, 0.7193288039416075, -0.5831442247144878, 0.9525530096143484, -1.523
",0.0,feasible,20
48,H,0,"//H
3
j:",0.0,"//H
3
j:
n:-0.3658292689360678, 0.6338874595239758, -0.9954656073823571, 0.8401650614105165, 0.8303293115459383, -0.660979138687253, d=|:r=0.96
",0.0,feasible,20
48,H,0,"//H
3
j:",0.0,"//H
3
j:
j:0.2607422051951289, 0.9683177717961371, 0.15526961768046021, 0.7020630300976336, 0.6257091695442796, -0.403241625521332, rotstif=0.981
",0.0,feasible,20
48,H,0,"//H
3
j:",0.0,"//H
3
j:
j:0.7789072003215551, -0.23651445237919688, 0.11003980226814747, 0.4605271643958986, 0.6306434101425111, -0.4604996722191572, rotstif=0.939
",0.0,feasible,20
48,H,0,"//H
3
j:",0.0,"//H
3
j:
j:-0.5690981140360236, 0.6459976057521999, 0.9729151641950011, -0.45556965423747897, 0.12753253756091, -0.947835287079215, l=1.072
",0.0,feasible,20
48,H,0,"//H
3
j:",0.0,"//H
3
j:y2=-0.077
",0.0,feasible,20
48,H,0,"//H
3
j:",0.0,"//H
3
j:rotstif=0.989
",0.0,feasible,20
48,H,0,"//H
3
j:",0.0,"//H
3
j:
n:-0.1435347953811288, 0.8070741314440966, 0.23751711566001177, -0.7784493295475841, 0.8690927354618907, -0.9383665136992931, d=|:r=0.928
",0.0,feasible,20
48,H,0,"//H
3
j:",0.0,"//H
3
j:fr=0.221
",0.0,feasible,20
48,H,0,"//H
3
j:",0.0,"//H
3
j:l=0.984
",0.0,feasible,20
48,H,0,"//H
3
j:",0.0,"//H
3
j:fr=0.705
",0.0,feasible,20
48,H,0,"//H
3
j:",0.0,"//H
3
j:l=1.046
",0.0,feasible,20
48,H,0,"//H
3
j:",0.0,"//H
3
j:rotstif=0.656
",0.0,feasible,20
48,H,0,"//H
3
j:",0.0,"//H
3
j:
n:-0.3669010163284838, 0.2601551953703165, -0.3385290657170117, -0.3305276595056057, -0.9897577711381018, 0.7078152126632631, d=T:rz=-2.295
",0.0,feasible,20
48,H,0,"//H
3
j:",0.0,"//H
3
j:x1=0.258
",0.0,feasible,20
48,H,0,"//H
3
j:",0.0,"//H
3
j:y0=0.008
",0.0,feasible,20
48,H,0,"//H
3
j:",0.0,"//H
3
j:l=0.97
",0.0,feasible,20
