run,genetic_format,mutation_intensity,generations_completed,duration_seconds,hof_genotype,hof_velocity
0,1,0.0,100,1659.7610823999858,"MDMX[*][@, 1:1,p:0.994]cXCX[N,3:1,-2:1,2:1]GQQX[N,3:1][S]QMlX[G][N, 1:1,-2:-1.214,-1:1,-3:1][G][Water][@, -1:4.221,p:0.711]",8.468891504483999
1,1,0.0,130,2154.3745427000104,"DXdfLX[T]GMFDXLLX[*][S]LX[Gpart][|, 4:1]FLX[|, 3:1]LX[Water][|, 1:3.444, r:0.984][N, 0:1, 0:1.323, 0:1, 0:3.025, -2:1]",7.731801823563954
2,1,0.0,106,1810.0924721000192,"CcXqqCLXGXLX[T][T][@, 5:1]QQX[@, 3:1, p:0.92, p:0.865, p:1,p:1]qX[T, rz:1.071][@, 2:1, p:0.942, p:0.997, p:1, p:1][N, 1:1, 1:1, 0:1, 0:1, 0:-0.198,-6:1][*]dFLMMX[|, -1:1]RGmX[*]DXdFLMMX[|, -1:1]RGmX[T]",5.212077618460711
3,1,0.0,34,600.0855634000036,"QX[*][@,-1:1,p:1]",0.003832678520405181
4,1,0.0,36,550.7783756999997,"MX[T][S][S][*][@, -1:1, p:0.809, p:1]",0.0038326785204044088
5,1,0.0,110,1728.544277899986,"QlQLLLLX[|, 1:1][N, 3:1, 0:1,1:1]CLQLLLX[G][@, 1:-0.839, p:0.48][*]lffX[|, -4:1]",1.838199671569982
6,1,0.0,27,424.2965666000091,"cXqX[*][@,-1:1,p:1]",0.006793911458678114
7,1,0.0,33,514.5082563000033,"qX[Water][*][@, -1:-1.406, p:1]",0.0038326785204073894
8,1,0.0,58,845.7467717999825,"MFqX[N,3:1][S][|, r:1,-2:1][S][T, r:1,r:1][T][@, -1:-1.275, p:0.987]",0.0038329649268991958
9,1,0.0,107,1307.8789523000014,"rX[@, 4:1,p:1][Water]DXGXLgXdX[Water]DXGXcX[G][Gpart][@, 1:2.604, p:0.95, p:0.883, p:1][Water]",7.987096145660762
