run,genetic_format,mutation_intensity,generations_completed,duration_seconds,hof_genotype,hof_velocity
0,1,0.0,69,919.4096294000046,"DXDXmXCcX[Delay,2:1]qX[|,-1:1][Sin][@, -1:0.471, p:0.893, p:1,p:1,p:0.918]",8.083716188011
1,1,0.0,30,382.6717122000118,"RX[|,3:1][@,1:1.329,p:1][Sin,1:1][Delay]",0.0038349140291336473
2,1,0.0,36,498.0042714999872,"X[Gpart][Delay, 1:1,-1:0.409][*][@, -1:1, p:1]",0.0038326785204033965
3,1,0.0,57,701.6868643000198,"QmX[Sin, f0:-0.415, f0:0.058, t:0][@, p:1, -1:-3.774]",0.0038345825717384543
4,1,0.0,37,458.3782952000038,"QqMX[Sin,1:1][Sin][@, -1:5.661,p:1]",0.003834541083826347
5,1,0.0,161,2159.0481199000205,"lXGX[N, 8:1]RLX[Gpart]GXMqX[Sin][@, 4:7.656][*]qqMX[*][@, p:0.8, p:0.893, -1:1][*]RBX[Sin, -4:1]rrfFBMLX[|, -2:1, r:1][*]XdXBMLX[Delay, -9:1, -4:0.321][|, -2:-2.184]rmX",8.170832676707237
6,1,0.0,87,1092.5000763999997,"DQfcLLLX[Sin]FfLCfLLX[Water][Sin, f0:0.0628319, -1:1][S][Sin, -1:1.644][@, -1:-5.13, p:0.998, p:1]",5.134204650411189
7,1,0.0,41,504.60557569999946,"lCXBX[S][Sin][@, -1:1, p:1]",0.20889203597221995
8,1,0.0,87,1055.3656432999996,"RMQX[|,2:1][G][S][Gpart, ry:0][Sin, f0:-0.045][@, -1:1.061, p:1]",0.003834718628986069
9,1,0.0,63,923.8265071999922,"X[Delay,5:1][Gpart][S][Gpart][T][N, 3:1, fo:0.04, -1:1,-5:1][Sin, f0:0.0628319,-4:1][Delay, -1:1.054, -2:1][Delay, -2:1, -1:1,-7:1][@, -1:1, p:0.843, p:1]",0.0038345772359700383
