run,genetic_format,mutation_intensity,generations_completed,duration_seconds,hof_genotype,hof_velocity
0,1,0.0,59,210.3123675000097,"fXLQX[@,2:1]LQX[Sin]BXmXLX[S][|, p:0.387, -2:0.804]",1.754874506872703
1,1,0.0,100,439.1528290999995,"(qMX[@, 4:1, p:1][|, 3:1]rX, LX[S][|, 3:1, r:1][Delay, 1:1][Sin][*])",0.2477766534452481
2,1,0.0,62,264.8480587999802,"RX[Water][Delay, 1:1][S]GXX[Sin, -1:-0.389]qMXRXLqqqX[|, r:0.998, -1:1]",1.6796394636236807
3,1,0.0,114,735.8612552999984,"dXXFqXRFqX[Gpart]MX[Sin,1:1][Sin,1:1,t:0][Delay]RRLfX[@][|, 1:2.243][Delay, t:4, -3:1, -6:1,-3:-0.252,-4:1][Delay, t:82, -5:1,-6:1]",1.8451761086841132
4,1,0.0,110,411.76724479999393,"QFX[G][*]DmlX[Delay,8:1][@, 3:1][Water][N, -1:1, 0:1][Water]rMLMLX[Water][|, -8:1]X[T][*][*][*][*]qX",1.9967483910935986
5,1,0.0,54,189.6687831999734,"qRFXXmXdX[G]X[Sin]LX[|, -1:-2.638, p:0.414][S]",2.1905306726751026
6,1,0.0,80,367.81335390001186,"GXLmMLgX[|][Gpart][Sin]lcCX[@, -1:-1.516]lcMlX[@][Sin]",0.14848537948327684
7,1,0.0,111,490.87912709999364,"rLqLlXX[N, 0:1][Sin, 3:1][|, p:0.554, -1:8.83]X[*][N, -4:1, fo:0.04]GGMllX[Delay, -2:1]",0.49271738569252715
8,1,0.0,117,444.5182732999965,"MXXRdRdXGXFBMX[N][G]rC(X[|, 1:4.15][Sin, t:0.277], )",2.1242322562122764
9,1,0.0,33,141.44721069998923,"gXqbDX[|,1:1][Sin,t:0.569][@, -1:1]",0.22397720933961685
