run,genetic_format,mutation_intensity,generations_completed,duration_seconds,hof_genotype,hof_velocity
0,1,0.0,144,637.4142780999828,"fXdX[Gpart]dfX[Water]MX[Sin]MGXLqX[|, -1:-0.68,r:0.853]",1.829033012390812
1,1,0.0,131,555.9673956999904,"ddX[T]qMX[*][Sin]X[*]GXRMQQX[Sin]qBXGXRRMQQX[@, p:0.961, -1:1]qgX[|, -2:1, r:1]X[|]X[|, -6:0.372]RfX[@, p:0.935]",1.8032638289799157
2,1,0.0,131,618.6106303999841,"LMMdXgXFqX[Sin, 4:1]FLX[T][Delay, -2:-0.704,2:1,-1:1,-2:1][Gpart][Sin, t:1.037, 1:1]QLX[Gpart][|, r:1, p:0.481, -2:1]",2.016500310156992
3,1,0.0,200,1196.9000844999973,"mfX[Water]RLmLX[T][Delay, t:177, 2:1, 1:1]rdfLQX[Sin, 3:-3.355][Water][T]lX[Sin, -5:1]LqqmLfbX[*][T][N, -3:1, 1:1, -6:0.693,-9:1][G][|, p:0.913, -1:6.248]",1.8060012326534438
4,1,0.0,157,677.7686316999898,"gXX[@]MX[S]dqXMQXQX[Sin,f0:0.0628319]MFXX[Sin]QQX[|, -1:1]mX[|, -2:0.311]",1.6873171816410004
5,1,0.0,200,707.5116011000064,"RLCCX[@,2:1][*][Sin, t:0.206]mqX[|]RRMQlX[Sin, 0:-0.493][@, -3:0.876, p:0.935]X[Sin][@, -5:1, p:0.818][T, ry:0.849]",0.4074377112933266
6,1,0.0,200,899.0233138999902,"gFMXXDXfXRMQX[S][S][Sin, -1:1.231]MXlMX[Sin]RMfX[Delay, 0:1][|,2:1]rFqLX[|, -4:2.331]mFX[S]",1.884120956589915
7,1,0.0,103,378.9013030999922,"DMXLGX[N, 4:1, 0:1]MX[S]rXllLMX[|, 3:0.707]FfX[Sin, -3:1]X[Gpart][N, -1:1, -1:1, 0:1, 0:1, -5:1, -4:1][|, r:0.782, -1:1]",1.5727695306201521
8,1,0.0,200,756.9300304999924,"RQX[N, 11:1, si:2,9:1][G][N, si:-999][N, 2:2.145][G]LMMMMM(MM(, qqMMMlMfqMX[*][|, -2:0.808, r:0.952]GXX[Water][*][N, -9:1,-4:1][Sin, 1:-3.151, t:0.039][S]), )",1.3727885252530307
9,1,0.0,200,740.1418159000168,"(X[N, 2:1][G][Sin, 1:1][Delay, 5:1, -1:1, -2:0.07][|, 1:1, p:0.442][*], LX[S][|, 2:1][*][Sin, f0:-0.036, t:0, t:0][@, -1:-3.08])",0.32350532836206064
