run,genetic_format,mutation_intensity,generations_completed,duration_seconds,hof_genotype,hof_velocity
0,1,0.0,196,1808.7638849000214,"FXDXrLfqX[Delay,5:1][*][S][@, 1:1][Sin, -4:1]dLXrLX[N, -3:1][|][Sin]qMX[|, 2:1][Water][Delay, -3:1, t:117][S][Sin, -11:-3.596][@, -1:1.935]",1.716455374628125
1,1,0.0,183,1731.5865243000153,"((LLLLfMX[Water][T][Sin, t:1.692, f0:-0.008, 7:1.329][Sin, t:1.396, f0:0.0628319][|, -1:1, r:1], ), llX[N, -4:1][@, 2:1][S][Delay, 1:1][Sin, -7:1, t:0.874][|, 1:1][Gpart][Delay, -11:0.659, -3:-1.366, -4:3.949, 0:1, -11:1])",1.045469062190147
2,1,0.0,181,1203.4333989000006,"rr(, RXLbXrMX[N, 7:1, si:-999][Sin]MX[*][*][|, -3:1]X[|,-4:1][S][Gpart], Rf(, , DXX[Delay, -2:1]))",1.819013829008508
3,1,0.0,108,581.3977324999869,"fDXbX[|,1:1]GXDXdXMLX[S][G][S][@, p:0.921][N, 0:1, -4:1,fo:0.04][|, 1:1][Sin]",1.9373094164173579
4,1,0.0,131,739.0190434999822,"BXXGFgX[N]fMX[Gpart]lXdXQMlXrMX[Sin, f0:-0.066,-1:1][Sin, f0:0.096][|, -1:1]dX",1.7825702312375642
5,1,0.0,180,1546.9870187000197,"((c(FfLX[Sin,5:1]bXrFQCfX[G][Water])), MX[Delay, 1:1,-3:1][Delay, 3:1, 0:1,-3:1][Sin][@, -1:-5.038, p:0.993]FX[S][N, -1:1, -6:1, -6:1,-6:1]FLFX[|, -4:1])",1.505512174604058
6,1,0.0,158,1485.2379389000125,"bX[Sin,1:1]qGlX[N]LXLgMLX[Delay,-2:1][Sin][Delay,t:170]DXRRfLX[|, -2:1]",1.9125097774485313
7,1,0.0,126,623.3743498000258,"M(LLLXLX[S][|, 1:7.496, p:0.372, r:0.88][G]RMLX[S][N, 2:1,-2:1.99][*][G][|, 1:4.934, r:1][G], , )",1.6748381553316563
8,1,0.0,200,1327.7396109999972,"LL(, dXX[G][|, 12:1]RfX[|, 6:1.249][S][S]gXqXrGX[|, 10:1]RlX[N, in:0.8, 9:1]FX[Water], (Lf(FX[Water][|, -1:-5.187, r:1, p:0.652, r:1]LLfX[@, -4:1]), lbX[N, -7:1]LlMlQX[N, 1:1]X[Sin, -10:1]LfX[Sin][Sin, -11:0.678]))",1.0261730789208003
9,1,0.0,104,546.4752389000205,"bXDXgX[G]BXDLX[*][G][Sin, 2:2.791]rmfX[G][S][|, -3:2.763, p:0.492]",1.8104988030744817
