run,genetic_format,mutation_intensity,generations_completed,duration_seconds,hof_genotype,hof_velocity
0,4,0.0,200,893.2882360999938,"/*4*/M<<<Mc,<XLfM>rMFLlLfFfMCF,RRfclQ,l,llCF,Cl<r,<XLCM>rrLlFlfCC,qcl,Rfll,Rl,,RFclF,,RFclclC,RlFffC<gX>Fll,cMcQCFl<C<mllfFClX,>N:T>N:@[-4:4.077]:+!:><MMN:|[-1:-2.713]>N:Water><CMQMN:|[-1:-1.717]:-=::+=::+/:>N:Water><q<CN:Water>cN:T><CN:*>,N:G>N:N[10:-2.346][4:4.978][3:-4.533][0:-4.562]>",0.807567128065698
1,4,0.0,173,781.8504611999961,"/*4*/c,<RRLfQmCLMqMLLQLQQX>RRQQ<BX>L<qC<cN:S>rN:|[1:-5.531]>RQbm<<<N:T>N:Sin[-1:3.244]><N:Water>l<N:Water><qN:Water><N:Water>XQQb#2Q#2rlF#2>>#3>>><N:Sin>N:T>",0.46893969133453267
2,4,0.0,200,1160.9584012000123,"/*4*/cL<<RM<<MCMCMMQ<<LX>c<QMcccMCcfFM<L<FMMX>Q<<QQff<N:@[-1:2.474]>Rm<mN:T>FF<N:Delay[-10:-4.199][-4:-3.26][-6:-0.181]>N:T>MX>l<N:|[-2:1.083]:+!:>X,CMFc#2#2f>>>DX>N:Sin><N:N[-3:-1.889][2:-0.309][1:0.699]:-=::+/:[0:2.336][-3:-5.488]#2#1,>>#2,>>N:*><DXfM>QN:T>qQQN:T,>mN:T>N:T>",1.4904261076708016
3,4,0.0,200,843.1968033000012,"/*4*/<RMMCLQ<<<,XRMLlLq#1>>RlN:@[-1:1.369]><cqlFN:Gpart#1:+!::+!:>>N:S#2>>,LqmN:Gpart#2#1>>>rM<rrMMfcFMq<rrMlfCLgQFXRl#3>>qN:Sin[2:1.254]>N:@[2:0.402],>",0.10533480529087802
4,4,0.0,200,967.948391199985,"/*4*/<r<DX><FMML<ML<L<MLL<MLL<LMM<<<rLFL<,,<LL<bX>q<L<X#1>>XRQlF#1#2rrrFMfL>>><QN:|[-2:-1.326]:+!:><l<N:Gpart#2>>N:N,[-6:1.045]><r<N:S>N:Water:+!:>N:Delay[-7:-2.162]>RcLLN:Sin:+!:[5:-4.724]>cN:Sin>N:Sin[-4:1.456]#2>>CN:Sin[8:1.513]>,N:N[-1:-0.788][-1:-3.582]:+!:#2>><N:S,>N:N:+=:#2>>N:Water>N:Water>N:N#2>>N:Water>N:Water>N:N:-/:,[15:-2.478][11:-1.977][11:0.432]>",1.478088816106298
5,4,0.0,124,463.7574484999932,/*4*/lLL<<gX><<X><X>LM<XrrmQM>L<MFDX>N:|:-!:[-1:1.887]#1>>N:Sin>N:@>,1.950936012732706
6,4,0.0,116,364.43385910001234,"/*4*/<DQlL<X,rQq><N:N[-1:0.44]>cN:|,#2#3>>>R<R<N:*><rrmMQQfCQll,lCllXl#1>cfCl>N:|#2>>N:N[0:-0.999]>",0.003642142419344206
7,4,0.0,200,663.7517221999879,"/*4*/fmcm<<Qmq<RmLLmLLmL<RFcLqLcqLML<FLmqqqqXQ,#1#2#3m>>>>fqqqXF#2#2#3,>#4>>>><N:Water,#2#3>>>N:N[0:0.133]>m<<N:Water>LfMN:|[-3:0.324]:+/:>cq,<c<qXrQF,#2#3c>>>F<mN:Water>N:S>rmQLN:|[1:3.498]>N:T:-!:#2:+/:>>N:@[3:5.702]>",0.35865080649561476
8,4,0.0,99,319.82294980000006,"/*4*/<GX>c<<L<X#5CcLL>>,<q<<fN:Sin:+!:#1>#2>>N:Gpart:-/:>N:|[-2:3.621]>N:*>mcXl>N:*>",0.11312408831226933
9,4,0.0,144,749.4826500999916,"/*4*/qllm<<<<R<<RLcQLLcQL<bCC,C<CC,XLC>N:Water>N:Delay[-4:2.179]>,<N:@[-3:-2.285]><N:Gpart>N:G>N:Delay[0:-3.293]>CLN:|[1:0.8],>rlXF>m<N:Water#3>>N:Gpart>N:Gpart#2>>",0.008893802049727536
