approach,run,best_fitness,best_generation,completed_generations,duration_seconds,first_positive_generation,improvements,trailing_generations,representation
1. F1 endpoint,0,8.468891504483999,80,100,0.0,0,34,20,f1
1. F1 endpoint,1,7.731801823563954,110,130,0.0,0,35,20,f1
1. F1 endpoint,2,5.212077618460711,86,106,0.0,0,49,20,f1
1. F1 endpoint,3,0.003832678520405181,14,34,0.0,0,3,20,f1
1. F1 endpoint,4,0.0038326785204044088,16,36,0.0,0,2,20,f1
1. F1 endpoint,5,1.838199671569982,90,110,0.0,0,54,20,f1
1. F1 endpoint,6,0.006793911458678114,7,27,0.0,0,4,20,f1
1. F1 endpoint,7,0.0038326785204073894,13,33,0.0,0,4,20,f1
1. F1 endpoint,8,0.0038329649268991958,38,58,0.0,0,14,20,f1
1. F1 endpoint,9,7.987096145660762,87,107,0.0,0,29,20,f1
2. F1 endpoint + oscillators,0,8.083716188011,49,69,0.0,0,25,20,f1
2. F1 endpoint + oscillators,1,0.0038349140291336473,10,30,0.0,0,7,20,f1
2. F1 endpoint + oscillators,2,0.0038326785204033965,16,36,0.0,0,2,20,f1
2. F1 endpoint + oscillators,3,0.0038345825717384543,37,57,0.0,0,14,20,f1
2. F1 endpoint + oscillators,4,0.003834541083826347,17,37,0.0,0,9,20,f1
2. F1 endpoint + oscillators,5,8.170832676707237,141,161,0.0,0,50,20,f1
2. F1 endpoint + oscillators,6,5.134204650411189,67,87,0.0,0,49,20,f1
2. F1 endpoint + oscillators,7,0.20889203597221995,21,41,0.0,0,13,20,f1
2. F1 endpoint + oscillators,8,0.003834718628986069,67,87,0.0,0,15,20,f1
2. F1 endpoint + oscillators,9,0.0038345772359700383,43,63,0.0,0,12,20,f1
3. F1 sustained,0,1.754874506872703,39,59,0.0,9,16,20,f1
3. F1 sustained,1,0.2477766534452481,80,100,0.0,52,18,20,f1
3. F1 sustained,2,1.6796394636236807,42,62,0.0,10,17,20,f1
3. F1 sustained,3,1.8451761086841132,94,114,0.0,38,26,20,f1
3. F1 sustained,4,1.9967483910935986,90,110,0.0,22,29,20,f1
3. F1 sustained,5,2.1905306726751026,34,54,0.0,16,9,20,f1
3. F1 sustained,6,0.14848537948327684,60,80,0.0,18,23,20,f1
3. F1 sustained,7,0.49271738569252715,91,111,0.0,5,35,20,f1
3. F1 sustained,8,2.1242322562122764,97,117,0.0,18,37,20,f1
3. F1 sustained,9,0.22397720933961685,13,33,0.0,5,7,20,f1
4. F1 lower drift penalties,0,1.829033012390812,94,144,0.0,6,27,50,f1
4. F1 lower drift penalties,1,1.8032638289799157,81,131,0.0,9,19,50,f1
4. F1 lower drift penalties,2,2.016500310156992,81,131,0.0,7,24,50,f1
4. F1 lower drift penalties,3,1.8060012326534438,160,200,0.0,9,43,40,f1
4. F1 lower drift penalties,4,1.6873171816410004,107,157,0.0,5,39,50,f1
4. F1 lower drift penalties,5,0.4074377112933266,193,200,0.0,9,70,7,f1
4. F1 lower drift penalties,6,1.884120956589915,174,200,0.0,5,29,26,f1
4. F1 lower drift penalties,7,1.5727695306201521,53,103,0.0,12,21,50,f1
4. F1 lower drift penalties,8,1.3727885252530307,198,200,0.0,11,62,2,f1
4. F1 lower drift penalties,9,0.32350532836206064,196,200,0.0,8,79,4,f1
Final F1,0,1.716455374628125,146,196,0.0,3,65,50,f1
Final F1,1,1.045469062190147,133,183,0.0,5,39,50,f1
Final F1,2,1.819013829008508,131,181,0.0,5,37,50,f1
Final F1,3,1.9373094164173579,58,108,0.0,5,31,50,f1
Final F1,4,1.7825702312375642,81,131,0.0,6,33,50,f1
Final F1,5,1.505512174604058,130,180,0.0,21,35,50,f1
Final F1,6,1.9125097774485313,108,158,0.0,3,28,50,f1
Final F1,7,1.6748381553316563,76,126,0.0,4,45,50,f1
Final F1,8,1.0261730789208003,183,200,0.0,3,83,17,f1
Final F1,9,1.8104988030744817,54,104,0.0,3,35,50,f1
Final F4,0,0.807567128065698,200,200,0.0,3,89,0,f4
Final F4,1,0.46893969133453267,123,173,0.0,5,31,50,f4
Final F4,2,1.4904261076708016,194,200,0.0,4,70,6,f4
Final F4,3,0.10533480529087802,200,200,0.0,7,86,0,f4
Final F4,4,1.478088816106298,176,200,0.0,4,72,24,f4
Final F4,5,1.950936012732706,74,124,0.0,5,45,50,f4
Final F4,6,0.003642142419344206,66,116,0.0,4,24,50,f4
Final F4,7,0.35865080649561476,172,200,0.0,7,61,28,f4
Final F4,8,0.11312408831226933,49,99,0.0,6,33,50,f4
Final F4,9,0.008893802049727536,94,144,0.0,7,28,50,f4
