representation,parent_id,rank_group,mutant_id,parent_fitness,mutant_fitness,delta_fitness,status,genotype
Final F1,1,worst,1,0.8221085163635837,-0.0006837015715702039,-0.8227922179351539,feasible,"LL(, dXX[G][|, 12:1]RfX[|, 6:1.249][S][S](gXqXrGX[|, 10:1]RlX[N, in:0.8, 9:1]FX[Water], (Lf(FX[Water][|, -1:-5.187, r:1, p:0.652, r:1]LLfX[@, -4:1])), lbX[N, -7:1]LlMlQX[N, 1:1]X[Sin, -10:1]LfX[Sin][Sin, -11:0.678]))"
Final F1,1,worst,2,0.8221085163635837,0.7344488860902424,-0.08765963027334134,feasible,"LLL(, dXX[G][|, 12:1]RfX[|, 6:1.249][S][S]gXqXrGX[|, 10:1]RlX[N, in:0.8, 9:1]FX[Water], (Lf(FX[Water][|, -1:-5.187, r:1, p:0.652, r:1]LLfX[@, -4:1]), lbX[N, -7:1]LlMlQX[N, 1:1]X[Sin, -10:1]LfX[Sin][Sin, -11:0.678]))"
Final F1,1,worst,3,0.8221085163635837,0.045062107705818324,-0.7770464086577654,feasible,"LL(, dXX[G][|, 11:1]RfX[S][S]gXqXrGX[|, 10:1]RlX[N, in:0.8, 9:1]FX[Water], (Lf(FX[Water][|, -1:-5.187, r:1, p:0.652, r:1]LLfX[@, -4:1]), lbX[N, -7:1]LlMlQX[N, 1:1]X[Sin, -10:1]LfX[Sin][Sin, -11:0.678]))"
Final F1,1,worst,4,0.8221085163635837,-0.013890859428195424,-0.8359993757917792,feasible,"LL(, dXX[G][|, 11:1]RfX[|, 6:1.249][S][S]gXqXrGX[|, 9:1]RlX[N, in:0.8, 8:1]FX[Water], (Lf(FX[Water]LLfX[@, -3:1]), lbX[N, -6:1]LlMlQX[N, 1:1]X[Sin, -9:1]LfX[Sin][Sin, -10:0.678]))"
Final F1,1,worst,5,0.8221085163635837,0.8058200871193544,-0.016288429244229352,feasible,"LL(, dXX[G][|, 12:1]RfX[|, 6:1.249][S][S]gXqXrGX[|, 10:1]RlX[N, in:0.8, 9:1]FX[Water], (Lf(FX[Water][|, -1:-5.187, r:1, p:0.652, r:1]LLfX[@, -4:1]), lbX[N, -7:1,-11:1]LlMlQX[N, 1:1]X[Sin, -10:1]LfX[Sin][Sin, -11:0.678]))"
Final F1,1,worst,6,0.8221085163635837,0.8016599601716543,-0.020448556191929423,feasible,"LL(, dXX[G][|, 12:1]RfX[|, 6:1.249][S][S]gXqXrGX[|, 10:1]RlX[N, 9:1]FX[Water], (Lf(FX[Water][|, -1:-5.187, r:1, p:0.652, r:1]LLfX[@, -4:1]), lbX[N, -7:1]LlMlQX[N, 1:1]X[Sin, -10:1]LfX[Sin][Sin, -11:0.678]))"
Final F1,1,worst,7,0.8221085163635837,-0.0053277868851465075,-0.8274363032487302,feasible,"LL(, dXX[G][|, 12:1]RfX[|, 6:1.249][S][S]gXqXrGX[|]RlX[N, in:0.8]FX[Water], (Lf(FX[Water][|, -1:-5.187, r:1, p:0.652, r:1]LLfX[@, -4:1]), lbX[N, -7:1]LlMlQX[N, 1:1]X[Sin, -10:1]LfX[Sin]))"
Final F1,1,worst,8,0.8221085163635837,0.012766958544248648,-0.809341557819335,feasible,"LL(, dXX[G][|, 12:1]RfX[|, 6:1.249][S][S]gXqXrGX[|, 10:1]RlX[N, in:0.8, 9:1]FX[Water], (bXLf(FX[Water][|, -1:-5.187, r:1, p:0.652, r:1]LLfX[@, -4:1]), lbX[N, -7:1]LlMlQX[N, 1:1]X[Sin, -10:1]LfX[Sin][Sin, -11:0.678]))"
Final F1,1,worst,9,0.8221085163635837,0.5385604232735768,-0.28354809309000695,feasible,"LL(, dXX[G][|, 12:1]RfX[|, 6:1.249][S][S]gXqXrGX[|, 10:1]RlX[N, in:0.8, 9:1]FX[Water], (Lf(FX[Water][|, -1:-5.187, r:1, p:0.652, r:1]LLfX[@, -4:1]DX), lbX[N, -7:1]LlMlQX[N, 1:1]X[Sin, -10:1]LfX[Sin][Sin, -11:0.678]))"
Final F1,1,worst,10,0.8221085163635837,0.41835048853536516,-0.40375802782821857,feasible,"LL(, dXX[G][|, 11:1]RfX[|, 6:1.249][S][S]gXqXrGX[|, 9:1]RlX[N, in:0.8, 8:1]FX[Water], (Lf(FX[Water][|, -1:-5.187, r:1, p:0.652, r:1]LLfX[@, -4:1]), LlMlQX[N, 1:1]X[Sin, -9:1]LfX[Sin][Sin, -10:0.678]))"
